feature_name
REGIAO_LATITUDE
REGIAO_LONGITUDE
UF_LATITUDE
UF_LONGITUDE
LATITUDE
LONGITUDE
POPULACAO
IDADE_ANO
ANO_SEM_SIN_PRI
